summary_date,site,no_davg,name,obs_count,units 
2001-12-24,2460,0.004,Alpine-Victoria Drive,23,Parts Per Million ( ppm ) 
2001-12-24,3198,0.010,Camp Pendleton,24,Parts Per Million ( ppm ) 
2001-12-24,2589,0.013,Chula Vista,23,Parts Per Million ( ppm ) 
2001-12-24,2327,0.049,El Cajon-Redwood Avenue,22,Parts Per Million ( ppm ) 
2001-12-24,2263,0.081,Escondido-E Valley Parkway,24,Parts Per Million ( ppm ) 
2001-12-24,2897,0.015,Oceanside-Mission Avenue,24,Parts Per Million ( ppm ) 
2001-12-24,2933,0.021,Otay Mesa-Paseo International,23,Parts Per Million ( ppm ) 
2001-12-24,2964,0.066,San Diego-12th Avenue,23,Parts Per Million ( ppm ) 
2001-12-24,2040,0.019,San Diego-Overland Avenue,23,Parts Per Million ( ppm ) 
2001-12-24,2293,0.010,Fremont-Chapel Way,23,Parts Per Million ( ppm ) 
2001-12-24,3490,0.014,Livermore-793 Rincon Avenue,23,Parts Per Million ( ppm ) 
2001-12-24,3659,0.025,Oakland-6701 International Blvd,24,Parts Per Million ( ppm ) 
2001-12-24,2804,0.009,Bethel Island Road,23,Parts Per Million ( ppm ) 
2001-12-24,2831,0.018,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2001-12-24,3660,0.001,Crockett-1098 Pomona Street,21,Parts Per Million ( ppm ) 
2001-12-24,2102,0.012,Pittsburg-10th Street,23,Parts Per Million ( ppm ) 
2001-12-24,3207,0.004,San Pablo-El Portal,23,Parts Per Million ( ppm ) 
2001-12-24,2622,0.048,San Rafael,23,Parts Per Million ( ppm ) 
2001-12-24,2655,0.004,Napa-Jefferson Avenue,23,Parts Per Million ( ppm ) 
2001-12-24,2373,0.029,San Francisco-Arkansas Street,23,Parts Per Million ( ppm ) 
2001-12-24,2125,0.044,Redwood City,23,Parts Per Million ( ppm ) 
2001-12-24,2413,0.076,San Jose-4th Street,23,Parts Per Million ( ppm ) 
2001-12-24,2410,0.010,Vallejo-304 Tuolumne Street,23,Parts Per Million ( ppm ) 
2001-12-24,2105,0.043,Santa Rosa-5th Street,23,Parts Per Million ( ppm ) 
2001-12-24,3026,0.032,Clovis-N Villa Avenue,23,Parts Per Million ( ppm ) 
2001-12-24,3009,0.052,Fresno-1st Street,23,Parts Per Million ( ppm ) 
2001-12-24,2013,0.034,Fresno-Drummond Street,23,Parts Per Million ( ppm ) 
2001-12-24,2844,0.021,Fresno-Sierra Skypark #2,23,Parts Per Million ( ppm ) 
2001-12-24,2114,0.003,Parlier,23,Parts Per Million ( ppm ) 
2001-12-24,2941,0.001,Arvin-Bear Mountain Blvd,23,Parts Per Million ( ppm ) 
2001-12-24,3146,0.025,Bakersfield-5558 California Avenue,23,Parts Per Million ( ppm ) 
2001-12-24,3145,0.024,Bakersfield-Golden State Highway,23,Parts Per Million ( ppm ) 
2001-12-24,2312,0.003,Edison,23,Parts Per Million ( ppm ) 
2001-12-24,2772,0.004,Oildale-3311 Manor Street,23,Parts Per Million ( ppm ) 
2001-12-24,2981,0.006,Shafter-Walker Street,23,Parts Per Million ( ppm ) 
2001-12-24,3129,0.005,Hanford-S Irwin Street,23,Parts Per Million ( ppm ) 
2001-12-24,3211,0.011,Madera-Pump Yard,23,Parts Per Million ( ppm ) 
2001-12-24,3022,0.006,Merced-S Coffee Avenue,23,Parts Per Million ( ppm ) 
2001-12-24,2094,0.029,Stockton-Hazelton Street,23,Parts Per Million ( ppm ) 
2001-12-24,3159,0.005,Tracy-24371 Patterson Pass Road,23,Parts Per Million ( ppm ) 
2001-12-24,2833,0.033,Modesto-14th Street,23,Parts Per Million ( ppm ) 
2001-12-24,2996,0.012,Turlock-S Minaret Street,23,Parts Per Million ( ppm ) 
2001-12-24,2032,0.027,Visalia-N Church Street,22,Parts Per Million ( ppm ) 
2001-12-24,3173,0.006,Calexico-East,22,Parts Per Million ( ppm ) 
2001-12-24,3135,0.009,Calexico-Ethel Street,23,Parts Per Million ( ppm ) 
2001-12-24,2199,0.004,Palm Springs-Fire Station,23,Parts Per Million ( ppm ) 
2001-12-24,2115,0.023,Chico-Manzanita Avenue,23,Parts Per Million ( ppm ) 
2001-12-24,2956,0.015,Roseville-N Sunrise Blvd,23,Parts Per Million ( ppm ) 
2001-12-24,3187,0.001,Folsom-Natoma Street,23,Parts Per Million ( ppm ) 
2001-12-24,2123,0.009,North Highlands-Blackfoot Way,23,Parts Per Million ( ppm ) 
2001-12-24,3223,0.006,Sacramento-3801 Airport Road,23,Parts Per Million ( ppm ) 
2001-12-24,2731,0.011,Sacramento-Del Paso Manor,23,Parts Per Million ( ppm ) 
2001-12-24,3011,0.014,Sacramento-T Street,23,Parts Per Million ( ppm ) 
2001-12-24,2958,0.012,Yuba City-Almond Street,23,Parts Per Million ( ppm ) 
2001-12-25,2948,0.008,South Lake Tahoe-Sandy Way,23,Parts Per Million ( ppm ) 
2001-12-25,3121,0.009,Mojave-923 Poole Street,23,Parts Per Million ( ppm ) 
2001-12-25,3658,0.021,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2001-12-25,2923,0.055,Barstow,23,Parts Per Million ( ppm ) 
2001-12-25,3500,0.031,Victorville-14306 Park Avenue,22,Parts Per Million ( ppm ) 
2001-12-25,3203,0.192,Mexicali-Cobach,23,Parts Per Million ( ppm ) 
2001-12-25,3185,0.127,Mexicali-ITM,23,Parts Per Million ( ppm ) 
2001-12-25,3183,0.016,Rosarito,23,Parts Per Million ( ppm ) 
