summary_date,site,no_davg,name,obs_count,units 
2001-04-05,2833,0.012,Modesto-14th Street,23,Parts Per Million ( ppm ) 
2001-04-05,2996,0.012,Turlock-S Minaret Street,23,Parts Per Million ( ppm ) 
2001-04-05,2032,0.005,Visalia-N Church Street,23,Parts Per Million ( ppm ) 
2001-04-05,3173,0.000,Calexico-East,23,Parts Per Million ( ppm ) 
2001-04-05,3135,0.000,Calexico-Ethel Street,23,Parts Per Million ( ppm ) 
2001-04-05,2199,0.000,Palm Springs-Fire Station,23,Parts Per Million ( ppm ) 
2001-04-05,2115,0.009,Chico-Manzanita Avenue,23,Parts Per Million ( ppm ) 
2001-04-05,2956,0.006,Roseville-N Sunrise Blvd,23,Parts Per Million ( ppm ) 
2001-04-05,2977,0.005,Elk Grove-Bruceville Road,23,Parts Per Million ( ppm ) 
2001-04-05,3187,0.000,Folsom-Natoma Street,23,Parts Per Million ( ppm ) 
2001-04-05,2123,0.006,North Highlands-Blackfoot Way,23,Parts Per Million ( ppm ) 
2001-04-05,3223,0.008,Sacramento-3801 Airport Road,23,Parts Per Million ( ppm ) 
2001-04-05,2731,0.004,Sacramento-Del Paso Manor,22,Parts Per Million ( ppm ) 
2001-04-05,3011,0.009,Sacramento-T Street,23,Parts Per Million ( ppm ) 
2001-04-05,2958,0.006,Yuba City-Almond Street,23,Parts Per Million ( ppm ) 
2001-04-05,2143,0.003,Davis-UCD Campus,23,Parts Per Million ( ppm ) 
2001-04-06,2948,0.001,South Lake Tahoe-Sandy Way,23,Parts Per Million ( ppm ) 
2001-04-06,3487,0.001,Echo Summit,23,Parts Per Million ( ppm ) 
2001-04-06,3121,0.001,Mojave-923 Poole Street,23,Parts Per Million ( ppm ) 
2001-04-06,2923,0.001,Barstow,23,Parts Per Million ( ppm ) 
2001-04-06,3215,0.004,Trona-Athol and Telegraph,24,Parts Per Million ( ppm ) 
2001-04-06,3500,0.006,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2001-04-06,3202,0.002,Mexicali-CBTIS,23,Parts Per Million ( ppm ) 
2001-04-06,3203,0.000,Mexicali-Cobach,20,Parts Per Million ( ppm ) 
2001-04-06,3185,0.002,Mexicali-ITM,23,Parts Per Million ( ppm ) 
2001-04-06,3201,0.003,Mexicali-UABC,23,Parts Per Million ( ppm ) 
2001-04-06,3183,0.001,Rosarito,21,Parts Per Million ( ppm ) 
