summary_date,site,co_davg,name,obs_count,units 
2012-08-26,3101,0.104,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2012-08-26,2360,0.200,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2012-08-26,3023,0.187,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2012-08-26,2327,0.221,El Cajon-Redwood Avenue,23,Parts Per Million ( ppm ) 
2012-08-26,2263,0.235,Escondido-E Valley Parkway,23,Parts Per Million ( ppm ) 
2012-08-26,3690,0.391,San Diego-1110 Beardsley Street,23,Parts Per Million ( ppm ) 
2012-08-26,3247,0.096,Oakland-9925 International Blvd,23,Parts Per Million ( ppm ) 
2012-08-26,3742,0.324,Oakland-West,23,Parts Per Million ( ppm ) 
2012-08-26,2804,0.222,Bethel Island Road,23,Parts Per Million ( ppm ) 
2012-08-26,2831,0.254,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2012-08-26,3668,0.291,San Pablo-Rumrill Blvd,23,Parts Per Million ( ppm ) 
2012-08-26,2622,0.263,San Rafael,23,Parts Per Million ( ppm ) 
2012-08-26,2655,0.336,Napa-Jefferson Avenue,23,Parts Per Million ( ppm ) 
2012-08-26,2373,0.317,San Francisco-Arkansas Street,23,Parts Per Million ( ppm ) 
2012-08-26,2125,0.242,Redwood City,23,Parts Per Million ( ppm ) 
2012-08-26,3770,0.281,Cupertino-22601 Voss Ave,23,Parts Per Million ( ppm ) 
2012-08-26,3661,0.189,San Jose-Jackson Street,22,Parts Per Million ( ppm ) 
2012-08-26,2410,0.287,Vallejo-304 Tuolumne Street,23,Parts Per Million ( ppm ) 
2012-08-26,2105,0.355,Santa Rosa-5th Street,23,Parts Per Million ( ppm ) 
2012-08-26,3026,0.200,Clovis-N Villa Avenue,22,Parts Per Million ( ppm ) 
2012-08-26,2013,0.273,Fresno-Drummond Street,22,Parts Per Million ( ppm ) 
2012-08-26,2844,0.200,Fresno-Sierra Skypark #2,22,Parts Per Million ( ppm ) 
2012-08-26,3787,0.219,Bakersfield-Municipal Airport,21,Parts Per Million ( ppm ) 
2012-08-26,2094,0.104,Stockton-Hazelton Street,23,Parts Per Million ( ppm ) 
2012-08-26,2833,0.196,Modesto-14th Street,23,Parts Per Million ( ppm ) 
2012-08-26,2996,0.300,Turlock-S Minaret Street,22,Parts Per Million ( ppm ) 
2012-08-26,3135,0.161,Calexico-Ethel Street,23,Parts Per Million ( ppm ) 
2012-08-26,2551,0.000,El Centro-9th Street,22,Parts Per Million ( ppm ) 
2012-08-26,2199,0.147,Palm Springs-Fire Station,22,Parts Per Million ( ppm ) 
2012-08-26,2123,0.200,North Highlands-Blackfoot Way,23,Parts Per Million ( ppm ) 
2012-08-26,2731,0.162,Sacramento-Del Paso Manor,24,Parts Per Million ( ppm ) 
2012-08-26,2840,0.287,Sacramento-El Camino and Watt,23,Parts Per Million ( ppm ) 
2012-08-26,3738,0.208,Sacramento-Goldenland Court,24,Parts Per Million ( ppm ) 
2012-08-27,3658,0.730,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2012-08-27,2923,0.100,Barstow,23,Parts Per Million ( ppm ) 
2012-08-27,3500,0.257,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2012-08-27,3138,0.585,Tijuana-ITT,22,Parts Per Million ( ppm ) 
2012-08-27,3779,0.394,Eureka-Humboldt Hill                    ,24,Parts Per Million ( ppm ) 
2012-08-27,3716,0.105,Eureka-Jacobs,21,Parts Per Million ( ppm ) 
2012-08-27,3489,0.250,Salinas-High School,24,Parts Per Million ( ppm ) 
2012-08-27,2484,0.422,Azusa,22,Parts Per Million ( ppm ) 
2012-08-27,2492,0.428,Burbank-W Palm Avenue,22,Parts Per Million ( ppm ) 
2012-08-27,3743,0.447,Compton-700 North Bullis Road,22,Parts Per Million ( ppm ) 
2012-08-27,2849,0.340,Glendora-Laurel,22,Parts Per Million ( ppm ) 
2012-08-27,2899,0.560,Los Angeles-North Main Street,22,Parts Per Million ( ppm ) 
2012-08-27,3683,0.279,Los Angeles-Westchester Parkway,23,Parts Per Million ( ppm ) 
